,entry_date,exit_date,entry_price,exit_price,exit_reason,pnl,pnl_pct
0,2025-05-09 04:00:00,2025-05-09 05:00:00,0.252,0.25502400000000003,TP,0.09956048000000095,0.9975999999999985
1,2025-05-09 06:00:00,2025-05-09 07:00:00,0.262,0.265144,TP,0.09956047999999917,0.9975999999999985
2,2025-05-09 10:00:00,2025-05-09 11:00:00,0.265,0.26818000000000003,TP,0.09956047999999917,0.9975999999999985
3,2025-05-09 12:00:00,2025-05-09 13:00:00,0.272,0.275264,TP,0.09956047999999917,0.9975999999999985
4,2025-05-09 15:00:00,2025-05-09 16:00:00,0.274,0.27263000000000004,SL,-0.06976019999999927,-0.6989999999999941
5,2025-05-09 17:00:00,2025-05-09 18:00:00,0.269,0.272228,TP,0.09956047999999917,0.9975999999999985
6,2025-05-09 20:00:00,2025-05-09 21:00:00,0.272,0.275264,TP,0.09956047999999917,0.9975999999999985
7,2025-05-09 23:00:00,2025-05-10 00:00:00,0.277,0.280324,TP,0.09956048000000095,0.9975999999999985
8,2025-05-10 05:00:00,2025-05-10 06:00:00,0.293,0.296516,TP,0.09956047999999917,0.9975999999999985
9,2025-05-10 07:00:00,2025-05-10 08:00:00,0.305,0.30866,TP,0.09956048000000095,0.9975999999999985
10,2025-05-10 11:00:00,2025-05-10 12:00:00,0.304,0.307648,TP,0.09956047999999917,0.9975999999999985
11,2025-05-10 14:00:00,2025-05-10 15:00:00,0.31,0.30845,SL,-0.06976019999999927,-0.6989999999999941
12,2025-05-10 16:00:00,2025-05-10 17:00:00,0.302,0.305624,TP,0.09956048000000095,0.9975999999999985
13,2025-05-10 19:00:00,2025-05-10 20:00:00,0.302,0.305624,TP,0.09956048000000095,0.9975999999999985
14,2025-05-10 22:00:00,2025-05-10 23:00:00,0.316,0.319792,TP,0.09956047999999917,0.9975999999999985
15,2025-05-11 02:00:00,2025-05-11 03:00:00,0.31,0.31372,TP,0.09956047999999917,0.9975999999999985
16,2025-05-11 04:00:00,2025-05-11 05:00:00,0.319,0.322828,TP,0.09956047999999917,0.9975999999999985
17,2025-05-11 09:00:00,2025-05-11 10:00:00,0.3,0.3036,TP,0.09956048000000095,0.9975999999999985
18,2025-05-11 12:00:00,2025-05-11 13:00:00,0.31,0.30845,SL,-0.06976019999999927,-0.6989999999999941
19,2025-05-11 15:00:00,2025-05-11 16:00:00,0.307,0.305465,SL,-0.06976020000000105,-0.6990000000000052
20,2025-05-11 17:00:00,2025-05-11 18:00:00,0.307,0.310684,TP,0.09956047999999917,0.9975999999999985
21,2025-05-11 21:00:00,2025-05-11 23:00:00,0.308,0.311696,TP,0.09956048000000095,0.9975999999999985
22,2025-05-12 00:00:00,2025-05-12 01:00:00,0.309,0.312708,TP,0.09956047999999917,0.9975999999999985
23,2025-05-12 02:00:00,2025-05-12 03:00:00,0.31,0.31372,TP,0.09956047999999917,0.9975999999999985
24,2025-05-12 04:00:00,2025-05-12 05:00:00,0.321,0.32485200000000003,TP,0.09956048000000095,0.9975999999999985
25,2025-05-12 06:00:00,2025-05-12 07:00:00,0.314,0.317768,TP,0.09956047999999917,0.9975999999999985
26,2025-05-12 08:00:00,2025-05-12 09:00:00,0.324,0.327888,TP,0.09956047999999917,0.9975999999999985
27,2025-05-12 10:00:00,2025-05-12 11:00:00,0.33,0.33396000000000003,TP,0.09956048000000095,0.9975999999999985
28,2025-05-12 12:00:00,2025-05-12 13:00:00,0.322,0.325864,TP,0.09956047999999917,0.9975999999999985
29,2025-05-12 16:00:00,2025-05-12 17:00:00,0.313,0.316756,TP,0.09956047999999917,0.9975999999999985
30,2025-05-12 19:00:00,2025-05-12 20:00:00,0.298,0.301576,TP,0.09956048000000095,0.9975999999999985
31,2025-05-12 21:00:00,2025-05-12 22:00:00,0.305,0.30866,TP,0.09956048000000095,0.9975999999999985
32,2025-05-12 23:00:00,2025-05-13 00:00:00,0.31,0.30845,SL,-0.06976019999999927,-0.6989999999999941
33,2025-05-13 06:00:00,2025-05-13 07:00:00,0.295,0.29853999999999997,TP,0.09956048000000095,0.9975999999999985
34,2025-05-13 08:00:00,2025-05-13 09:00:00,0.298,0.301576,TP,0.09956048000000095,0.9975999999999985
35,2025-05-13 11:00:00,2025-05-13 12:00:00,0.306,0.309672,TP,0.09956048000000095,0.9975999999999985
36,2025-05-13 15:00:00,2025-05-13 16:00:00,0.312,0.315744,TP,0.09956048000000095,0.9975999999999985
37,2025-05-13 17:00:00,2025-05-13 18:00:00,0.329,0.332948,TP,0.09956048000000095,0.9975999999999985
38,2025-05-13 19:00:00,2025-05-13 22:00:00,0.336,0.340032,TP,0.09956047999999917,0.9975999999999985
39,2025-05-14 02:00:00,2025-05-14 03:00:00,0.339,0.337305,SL,-0.06976020000000105,-0.6990000000000052
40,2025-05-14 05:00:00,2025-05-14 06:00:00,0.334,0.33233,SL,-0.06976019999999927,-0.6989999999999941
41,2025-05-14 09:00:00,2025-05-14 10:00:00,0.32,0.32384,TP,0.09956047999999917,0.9975999999999985
42,2025-05-14 11:00:00,2025-05-14 12:00:00,0.324,0.327888,TP,0.09956047999999917,0.9975999999999985
43,2025-05-14 15:00:00,2025-05-14 16:00:00,0.316,0.31442,SL,-0.06976020000000105,-0.6990000000000052
44,2025-05-14 19:00:00,2025-05-14 20:00:00,0.314,0.314,Signal,-0.01995999999999931,-0.19999999999998908
45,2025-05-14 21:00:00,2025-05-14 23:00:00,0.314,0.31243,SL,-0.06976020000000105,-0.6990000000000052
46,2025-05-15 00:00:00,2025-05-15 01:00:00,0.312,0.315744,TP,0.09956048000000095,0.9975999999999985
47,2025-05-15 02:00:00,2025-05-15 03:00:00,0.305,0.30866,TP,0.09956048000000095,0.9975999999999985
48,2025-05-15 04:00:00,2025-05-15 05:00:00,0.304,0.30247999999999997,SL,-0.06976020000000105,-0.6990000000000052
49,2025-05-15 08:00:00,2025-05-15 09:00:00,0.285,0.28841999999999995,TP,0.09956047999999917,0.9975999999999985
50,2025-05-15 12:00:00,2025-05-15 13:00:00,0.291,0.294492,TP,0.09956048000000095,0.9975999999999985
51,2025-05-15 15:00:00,2025-05-15 17:00:00,0.283,0.286396,TP,0.09956047999999917,0.9975999999999985
52,2025-05-16 01:00:00,2025-05-16 02:00:00,0.288,0.291456,TP,0.09956047999999917,0.9975999999999985
53,2025-05-16 03:00:00,2025-05-16 04:00:00,0.29,0.29347999999999996,TP,0.09956047999999917,0.9975999999999985
54,2025-05-16 06:00:00,2025-05-16 07:00:00,0.288,0.28656,SL,-0.06976020000000105,-0.6990000000000052
55,2025-05-16 09:00:00,2025-05-16 10:00:00,0.285,0.28841999999999995,TP,0.09956047999999917,0.9975999999999985
56,2025-05-16 13:00:00,2025-05-16 14:00:00,0.285,0.28841999999999995,TP,0.09956047999999917,0.9975999999999985
57,2025-05-16 15:00:00,2025-05-16 16:00:00,0.283,0.281585,SL,-0.06976020000000105,-0.6990000000000052
58,2025-05-16 18:00:00,2025-05-16 19:00:00,0.277,0.280324,TP,0.09956048000000095,0.9975999999999985
59,2025-05-16 23:00:00,2025-05-17 00:00:00,0.27,0.27324000000000004,TP,0.09956048000000095,0.9975999999999985
60,2025-05-17 02:00:00,2025-05-17 03:00:00,0.264,0.26268,SL,-0.06976019999999927,-0.6989999999999941
61,2025-05-17 04:00:00,2025-05-17 05:00:00,0.266,0.26467,SL,-0.06976020000000105,-0.6990000000000052
62,2025-05-17 06:00:00,2025-05-17 07:00:00,0.263,0.261685,SL,-0.06976019999999927,-0.6989999999999941
63,2025-05-17 09:00:00,2025-05-17 11:00:00,0.259,0.262108,TP,0.09956047999999917,0.9975999999999985
64,2025-05-17 14:00:00,2025-05-17 15:00:00,0.259,0.262108,TP,0.09956047999999917,0.9975999999999985
65,2025-05-17 19:00:00,2025-05-17 20:00:00,0.261,0.26413200000000003,TP,0.09956048000000095,0.9975999999999985
66,2025-05-17 23:00:00,2025-05-18 02:00:00,0.263,0.266156,TP,0.09956048000000095,0.9975999999999985
67,2025-05-18 04:00:00,2025-05-18 05:00:00,0.265,0.26818000000000003,TP,0.09956047999999917,0.9975999999999985
68,2025-05-18 07:00:00,2025-05-18 08:00:00,0.274,0.27728800000000003,TP,0.09956048000000095,0.9975999999999985
69,2025-05-18 12:00:00,2025-05-18 13:00:00,0.281,0.284372,TP,0.09956047999999917,0.9975999999999985
70,2025-05-18 14:00:00,2025-05-18 15:00:00,0.289,0.292468,TP,0.09956047999999917,0.9975999999999985
71,2025-05-18 16:00:00,2025-05-18 17:00:00,0.297,0.29551499999999997,SL,-0.06976020000000105,-0.6990000000000052
72,2025-05-18 20:00:00,2025-05-18 21:00:00,0.272,0.275264,TP,0.09956047999999917,0.9975999999999985
73,2025-05-18 22:00:00,2025-05-18 23:00:00,0.276,0.279312,TP,0.09956047999999917,0.9975999999999985
74,2025-05-19 05:00:00,2025-05-19 06:00:00,0.262,0.265144,TP,0.09956047999999917,0.9975999999999985
75,2025-05-19 07:00:00,2025-05-19 08:00:00,0.258,0.261096,TP,0.09956047999999917,0.9975999999999985
76,2025-05-19 11:00:00,2025-05-19 12:00:00,0.26,0.2587,SL,-0.06976020000000105,-0.6990000000000052
77,2025-05-19 13:00:00,2025-05-19 14:00:00,0.258,0.261096,TP,0.09956047999999917,0.9975999999999985
78,2025-05-19 15:00:00,2025-05-19 16:00:00,0.266,0.26919200000000004,TP,0.09956047999999917,0.9975999999999985
79,2025-05-19 20:00:00,2025-05-19 21:00:00,0.267,0.26566500000000004,SL,-0.06976019999999927,-0.6989999999999941
80,2025-05-19 23:00:00,2025-05-20 00:00:00,0.266,0.26919200000000004,TP,0.09956047999999917,0.9975999999999985
81,2025-05-20 01:00:00,2025-05-20 02:00:00,0.266,0.26919200000000004,TP,0.09956047999999917,0.9975999999999985
82,2025-05-20 05:00:00,2025-05-20 06:00:00,0.275,0.273625,SL,-0.06976020000000105,-0.6990000000000052
83,2025-05-20 13:00:00,2025-05-20 14:00:00,0.262,0.265144,TP,0.09956047999999917,0.9975999999999985
84,2025-05-20 15:00:00,2025-05-20 16:00:00,0.262,0.265144,TP,0.09956047999999917,0.9975999999999985
85,2025-05-20 17:00:00,2025-05-20 18:00:00,0.262,0.265144,TP,0.09956047999999917,0.9975999999999985
86,2025-05-20 19:00:00,2025-05-20 20:00:00,0.259,0.262108,TP,0.09956047999999917,0.9975999999999985
87,2025-05-20 21:00:00,2025-05-20 22:00:00,0.273,0.271635,SL,-0.06976020000000105,-0.6990000000000052
88,2025-05-20 23:00:00,2025-05-21 00:00:00,0.272,0.275264,TP,0.09956047999999917,0.9975999999999985
89,2025-05-21 02:00:00,2025-05-21 04:00:00,0.271,0.274252,TP,0.0995604799999974,0.9975999999999763
90,2025-05-21 06:00:00,2025-05-21 07:00:00,0.28,0.2786,SL,-0.06976020000000105,-0.6990000000000052
91,2025-05-21 11:00:00,2025-05-21 12:00:00,0.272,0.275264,TP,0.09956047999999917,0.9975999999999985
92,2025-05-21 13:00:00,2025-05-21 14:00:00,0.276,0.279312,TP,0.09956047999999917,0.9975999999999985
93,2025-05-21 15:00:00,2025-05-21 16:00:00,0.28,0.28336000000000006,TP,0.09956048000000095,0.9975999999999985
94,2025-05-21 18:00:00,2025-05-21 20:00:00,0.273,0.276276,TP,0.09956047999999917,0.9975999999999985
95,2025-05-21 22:00:00,2025-05-21 23:00:00,0.28,0.28336000000000006,TP,0.09956048000000095,0.9975999999999985
96,2025-05-22 00:00:00,2025-05-22 01:00:00,0.293,0.296516,TP,0.09956047999999917,0.9975999999999985
97,2025-05-22 02:00:00,2025-05-22 03:00:00,0.293,0.296516,TP,0.09956047999999917,0.9975999999999985
98,2025-05-22 04:00:00,2025-05-22 05:00:00,0.312,0.315744,TP,0.09956048000000095,0.9975999999999985
99,2025-05-22 07:00:00,2025-05-22 09:00:00,0.318,0.321816,TP,0.09956047999999917,0.9975999999999985
100,2025-05-22 14:00:00,2025-05-22 15:00:00,0.312,0.315744,TP,0.09956048000000095,0.9975999999999985
101,2025-05-22 17:00:00,2025-05-22 18:00:00,0.317,0.32080400000000003,TP,0.09956048000000095,0.9975999999999985
102,2025-05-22 20:00:00,2025-05-22 21:00:00,0.319,0.322828,TP,0.09956047999999917,0.9975999999999985
103,2025-05-22 23:00:00,2025-05-23 00:00:00,0.326,0.32991200000000004,TP,0.09956048000000095,0.9975999999999985
104,2025-05-23 01:00:00,2025-05-23 02:00:00,0.326,0.32991200000000004,TP,0.09956048000000095,0.9975999999999985
105,2025-05-23 03:00:00,2025-05-23 04:00:00,0.339,0.337305,SL,-0.06976020000000105,-0.6990000000000052
106,2025-05-23 08:00:00,2025-05-23 09:00:00,0.322,0.325864,TP,0.09956047999999917,0.9975999999999985
107,2025-05-23 10:00:00,2025-05-23 11:00:00,0.328,0.32636000000000004,SL,-0.06976019999999927,-0.6989999999999941
108,2025-05-23 14:00:00,2025-05-23 15:00:00,0.312,0.31044,SL,-0.06976020000000105,-0.6990000000000052
109,2025-05-23 17:00:00,2025-05-23 18:00:00,0.308,0.30646,SL,-0.06976019999999927,-0.6989999999999941
110,2025-05-24 02:00:00,2025-05-24 04:00:00,0.283,0.286396,TP,0.09956047999999917,0.9975999999999985
111,2025-05-24 05:00:00,2025-05-24 06:00:00,0.292,0.29053999999999996,SL,-0.06976020000000105,-0.6990000000000052
112,2025-05-24 10:00:00,2025-05-24 12:00:00,0.286,0.28943199999999997,TP,0.09956047999999917,0.9975999999999985
113,2025-05-24 14:00:00,2025-05-24 15:00:00,0.286,0.28943199999999997,TP,0.09956047999999917,0.9975999999999985
114,2025-05-24 17:00:00,2025-05-24 20:00:00,0.288,0.28656,SL,-0.06976020000000105,-0.6990000000000052
115,2025-05-24 23:00:00,2025-05-25 00:00:00,0.281,0.27959500000000004,SL,-0.06976019999999927,-0.6989999999999941
116,2025-05-25 02:00:00,2025-05-25 04:00:00,0.275,0.27830000000000005,TP,0.09956048000000095,0.9975999999999985
117,2025-05-25 05:00:00,2025-05-25 06:00:00,0.281,0.27959500000000004,SL,-0.06976019999999927,-0.6989999999999941
118,2025-05-25 12:00:00,2025-05-25 13:00:00,0.267,0.270204,TP,0.09956047999999917,0.9975999999999985
119,2025-05-25 18:00:00,2025-05-25 19:00:00,0.264,0.267168,TP,0.09956048000000095,0.9975999999999985
120,2025-05-25 21:00:00,2025-05-25 22:00:00,0.27,0.27324000000000004,TP,0.09956048000000095,0.9975999999999985
121,2025-05-25 23:00:00,2025-05-26 00:00:00,0.282,0.28538399999999997,TP,0.09956047999999917,0.9975999999999985
122,2025-05-26 01:00:00,2025-05-26 02:00:00,0.293,0.296516,TP,0.09956047999999917,0.9975999999999985
123,2025-05-26 04:00:00,2025-05-26 05:00:00,0.31,0.30845,SL,-0.06976019999999927,-0.6989999999999941
124,2025-05-26 07:00:00,2025-05-26 08:00:00,0.308,0.311696,TP,0.09956048000000095,0.9975999999999985
125,2025-05-26 12:00:00,2025-05-26 13:00:00,0.303,0.301485,SL,-0.06976019999999927,-0.6989999999999941
126,2025-05-26 15:00:00,2025-05-26 16:00:00,0.296,0.299552,TP,0.09956047999999917,0.9975999999999985
127,2025-05-26 18:00:00,2025-05-26 19:00:00,0.29,0.28855,SL,-0.06976020000000105,-0.6990000000000052
128,2025-05-26 21:00:00,2025-05-26 22:00:00,0.291,0.289545,SL,-0.06976019999999927,-0.6989999999999941
129,2025-05-26 23:00:00,2025-05-27 00:00:00,0.289,0.292468,TP,0.09956047999999917,0.9975999999999985
130,2025-05-27 04:00:00,2025-05-27 05:00:00,0.291,0.294492,TP,0.09956048000000095,0.9975999999999985
131,2025-05-27 06:00:00,2025-05-27 07:00:00,0.296,0.299552,TP,0.09956047999999917,0.9975999999999985
132,2025-05-27 08:00:00,2025-05-27 09:00:00,0.301,0.304612,TP,0.09956047999999917,0.9975999999999985
133,2025-05-27 13:00:00,2025-05-27 14:00:00,0.306,0.30447,SL,-0.06976019999999927,-0.6989999999999941
134,2025-05-27 15:00:00,2025-05-27 16:00:00,0.301,0.304612,TP,0.09956047999999917,0.9975999999999985
